Origin,Type,Petitions
Dist. Court of Appeal of Florida - Fifth Dist.,State/Other,7
Dist. Court of Appeal of Florida - First Dist.,State/Other,7
Supreme Court of Mississippi,State/Other,7
Supreme Court of Missouri,State/Other,7
Supreme Court of North Carolina,State/Other,7
App. Court of Maryland,State/Other,6
Court of Appeals of Georgia,State/Other,6
Court of Appeals of Oregon,State/Other,6
Court of Appeals of Washington - Div. 2,State/Other,6
Supreme Court of Delaware,State/Other,6
Supreme Court of Montana,State/Other,6
Supreme Court of Wyoming,State/Other,6
App. Court of Illinois - Fourth Dist.,State/Other,5
App. Court of Illinois - Second Dist.,State/Other,5
App. Div. - Supreme Court of New York - First Judicial Dept.,State/Other,5
Court of Appeal of California - Fourth App. Dist. - Div. One,State/Other,5
Court of Appeal of California - Sixth App. Dist.,State/Other,5
Court of Appeals of Indiana,State/Other,5
Court of Appeals of Michigan,State/Other,5
Court of Appeals of Washington - Div. 1,State/Other,5
Court of Criminal Appeals of Tennessee - Eastern Div.,State/Other,5
