Origin,Type,Petitions
Court of Appeals of Oregon,State/Other,6
Superior Court of Pennsylvania - Pittsburgh Office,State/Other,6
Supreme Court of Montana,State/Other,6
Supreme Court of Nevada,State/Other,6
Supreme Court of New Jersey,State/Other,6
Supreme Court of Vermont,State/Other,6
Supreme Court of Washington,State/Other,6
Supreme Court of Wyoming,State/Other,6
App. Div. - Supreme Court of New York - First Judicial Dept.,State/Other,5
Court of Appeal of California - Fifth App. Dist.,State/Other,5
Court of Appeal of California - Fourth App. Dist. - Div. One,State/Other,5
Court of Appeal of California - Fourth App. Dist. - Div. Two,State/Other,5
Court of Appeals of North Carolina,State/Other,5
Court of Appeals of Ohio - Cuyahoga County,State/Other,5
Court of Appeals of Texas - Fifth Dist.,State/Other,5
Court of Appeals of Texas - Seventh Dist.,State/Other,5
Court of Criminal Appeals of Alabama,State/Other,5
Court of Criminal Appeals of Tennessee - Eastern Div.,State/Other,5
Superior Court of Pennsylvania - Harrisburg Office,State/Other,5
Supreme Court of Appeals of West Virginia,State/Other,5
