case_name,docket,combined,order
Snyder v. U.S.,23-108,\\ Blatt \\ Sinzdak \\,1
Chiaverini v. City of Napoleon,23-50,\\ Anand \\ Suri \\ Wold,2
Fischer v. U.S.,23-5572,\\ Green \\ Prelogar \\,3
Thornell v. Jones,22-982,\\ Lewis \\ Andre \\,4
City of Grants Pass v. Johnson,23-175,\\ Evangelis \\ Kneedler \\ Corkran,5
Smith v. Spizzirri,22-1218,\\ Geyser \\ Rosenkranz \\,6
Dept. of State v. Munoz,23-334,\\ Gannon \\ Lee \\,7
Starbucks Corp. v. McKinney,23-367,\\ Blatt \\ Raynor \\,8
Moyle v. U.S. (Cons. w. 23-727),23-726,\\ Turner \\ Prelogar \\,9
Trump v. U.S.,23-939,\\ Sauer \\ Dreeben \\,10
