case_name,docket,combined,order
Murthy v. Missouri,23-411,\\ Fletcher \\ Aguinaga \\,1
NRA v. Vullo,22-842,\\ Cole \\ McDowell \\ Katyal,2
Diaz v. U.S.,23-14,\\ Fisher \\ Guarnieri \\,3
Truck Insurance Exchange v. Kaiser Gypsum,22-1079,\\ Ho \\ Yang \\ Marshall \\ Frederick,4
Gonzalez v. Trevino,22-1025,\\ Bidwell \\ Reaves \\ Blatt,5
Becerra v. San Carlos Apache Tribe (Cons. w. 23-253),23-250,\\ Flynn \\ Unikowsky \\ Miller,6
Texas v. New Mexico and Colorado,22O141,\\ Liu \\ Pettit \\ Wechsler,7
Harrow v. Dept. of Defense,23-21,\\ Davis \\ Brown \\,8
FDA v. Alliance for Hippocratic Medicine (Cons. w. 23-236),23-235,\\ Prelogar \\ Ellsworth \\ Hawley,9
Erlinger v. United States,23-370,\\ Fisher \\ Feigin \\ Harper,10
Connelly v. United States,23-146,\\ Shanmugam \\ Dubin \\,11
