case_name,combined
Murthy v. Missouri,\\ Fletcher (7482) \\ Aguinaga (5783)
NRA v. Vullo,\\ Cole (4004) \\ McDowell (1638) \\ Katyal (3237)
Diaz v. U.S.,\\ Fisher (6158) \\ Guarnieri (3928)
Truck Insurance Exchange v. Kaiser Gypsum,\\ Ho (2112) \\ Yang (1942) \\ Marshall (1872) \\ Frederick (2179)
Gonzalez v. Trevino,\\ Bidwell (3363) \\ Blatt (2895) \\ Reaves (2524)
Becerra v. San Carlos Apache Tribe (Cons. w. 23-253),\\ Unikowsky (4157) \\ Flynn (4465) \\ Miller (2406)
Texas v. New Mexico and Colorado,\\ Liu (4225) \\ Wechsler (1190) \\ Pettit (2538)
Harrow v. Dept. of Defense,\\ Brown (4665) \\ Davis (1991)
FDA v. Alliance for Hippocratic Medicine (Cons. w. 23-236),\\ Prelogar (4754) \\ Hawley (3898) \\ Ellsworth (1424)
Erlinger v. United States,\\ Harper (3902) \\ Feigin (3106) \\ Fisher (4317)
Connelly v. United States,\\ Shanmugam (4585) \\ Dubin (3663)
