case_name,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Snyder v. U.S.,457,NA,905,1030,712,1363,1225,694,1290
Chiaverini v. City of Napoleon,167,NA,996,357,252,669,NA,750,1382
Fischer v. U.S.,563,329,1379,817,881,307,369,956,1203
Thornell v. Jones,165,45,820,1089,792,553,409,382,1316
City of Grants Pass v. Johnson,1101,461,1101,1716,1454,1834,791,1492,2072
Smith v. Spizzirri,284,86,80,249,185,82,38,NA,588
Dept. of State v. Munoz,806,267,833,1033,1121,1080,730,949,990
Starbucks Corp. v. McKinney,197,102,143,516,642,864,74,212,1313
Moyle v. U.S. (Cons. w. 23-727),409,160,1362,1495,1551,794,766,999,1854
Trump v. U.S.,706,155,1856,1450,1099,1711,1520,1520,3088
