short_hand,total_time_spoken,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Snyder v. U.S.,43.76,2.71,0,5.22,7.19,3.71,7.46,6.61,3.34,7.52
Chiaverini v. City of Napoleon,25.64,1.32,0,5.54,2.24,1.36,3.67,0,3.64,7.87
Fischer v. U.S.,41.76,3.49,2.42,8.82,5.59,5.09,1.82,2.34,4.96,7.23
Thornell v. Jones,33.8,1.15,0.33,5.09,7.48,4.14,3.15,2.82,2.1,7.54
City of Grants Pass v. Johnson,68.96,6.2,3.29,6.82,11.16,8.06,9.59,4.53,7.55,11.76
Smith v. Spizzirri,9.1,1.53,0.66,0.52,1.64,0.86,0.45,0.32,0,3.12
Dept. of State v. Munoz,45.18,4.47,1.89,4.56,7.36,6.58,6.06,4.33,4.39,5.54
Starbucks Corp. v. McKinney,22.84,1.26,0.73,0.83,3.45,3.34,4.44,0.36,0.99,7.44
Moyle v. U.S. (Cons. w. 23-727),57.61,2.51,1.3,8.52,10.78,9.04,4.65,4.6,5.21,11
Trump v. U.S.,77.9,4.14,1.4,11.82,10.41,6.28,9.48,9.21,7.71,17.45
