Case,Date_Argued,Date_Decided,Lower_Court,Decision,Author,Coalition,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON,Docket
Acheson Hotels LLC v. Laufer,10/4/2023,12/5/2023,CA1,Vacate & Remand,Barrett,(9-0),1,5,1,1,1,1,1,100,5,22-429
Murray v. UBS Securities LLC,10/9/2023,2/7/2024,CA2,Reverse & Remand,Sotomayor,(9-0),1,1,2,100,1,1,1,3,1,22-660
Department of Agriculture Rural Development Rural Housing Service v. Kirtz,11/5/2023,2/7/2024,CA3,Affirm,Gorsuch,(9-0),1,1,1,1,1,100,1,1,1,22-846
Great Lakes Ins. SE v. Raiders Retreat Reality Co.,10/9/2023,2/20/2024,CA3,Reverse,Kavanaugh,(9-0),1,2,1,1,1,1,100,1,1,22-500
McElrath v. Georgia,11/17/2023,2/20/2024,SCGA,Reverse & Remand,Jackson,(9-0),1,1,2,1,1,1,1,1,100,22-721
Trump v. Anderson,2/8/2024,3/4/2024,SCCO,Reverse,Per Curiam,(9-0),1,1,1,5,6,1,1,7,6,23-719
O'Connor-Ratcliff v. Garnier,10/31/2023,3/15/2024,CA9,Vacate & Remand,Per Curiam,(9-0),1,1,1,1,1,1,1,1,1,22-324
Lindke v. Freed,10/31/2023,3/15/2024,CA6,Vacate & Remand,Barrett,(9-0),1,1,1,1,1,1,1,100,1,22-611
Pulsifer v. United States,10/2/2023,3/15/2024,CA8,Affirm,Kagan,(6-3),1,1,1,-2,100,-1,1,1,-2,22-340
Wilkinson v. Garland,11/28/2023,3/19/2024,CA3,Reverse In Part Vacate In Part Remand,Sotomayor,(6-3),-3,-2,-1,100,1,1,1,1,5,22-666
FBI v. Fikre,1/8/2024,3/19/2024,CA9,Affirm,Gorsuch,(9-0),1,1,2,1,1,100,3,1,1,22-1178
Bissonnette v. LePage Bakeries Park St. LLC,2/20/2024,4/12/2024,CA2,Vacate & Remand,Roberts,(9-0),100,1,1,1,1,1,1,1,1,23-51
Macquarie Infrastructure Corp. v. Moab Partners,1/16/2024,4/12/2024,CA2,Vacate & Remand,Sotomayor,(9-0),1,1,1,100,1,1,1,1,1,22-1165
Sheetz v. County of El Dorado California,1/9/2024,4/12/2024,Cal. Ct. App.,Vacate & Remand,Barrett,(9-0),1,1,1,2,3,2,2,100,3,22-1074
DeVillier v. Texas,1/16/2024,4/16/2024,CA5,Vacate & Remand,Thomas,(9-0),1,100,1,1,1,1,1,1,1,22-913
Rudisill v. McDonough,11/8/2023,4/16/2024,CAFC,Reverse & Remand,Jackson,(7-2),1,-1,-2,1,1,1,2,1,100,22-888
Muldrow v. City of St. Louis,12/6/2023,4/17/2024,CA8,Vacate & Remand,Kagan,(9-0),1,5,5,1,100,1,5,1,1,22-193
McIntosh v. United States,2/27/2024,4/17/2024,CA2,Affirm,Sotomayor,(9-0),1,1,1,100,1,1,1,1,1,22-7386
"Warner Chappel Music, Inc. v. Nealy",2/21/2024,5/9/2024,CA11,Affirm,Kagan,(6-3),1,-2,-2,1,100,-1,1,1,1,22-1078
Culley v. Marshall,10/30/2023,5/9/2024,CA11,Affirm,Kavanaugh,(6-3),1,3,1,-1,-2,2,100,1,-2,22-585
Harrow v. DOD,3/25/2024,5/16/2024,CAFC,Vacate & Remand,Kagan,(9-0),1,1,1,1,100,1,1,1,1,23-21
Smith v. Spizzirri,4/22/2024,5/16/2024,CA9,Reverse & Remand,Sotomayor,(9-0),1,1,1,100,1,1,1,1,1,22-1218
CFPB v. CFSA,10/3/2023,5/16/2024,CA5,Reverse & Remand,Thomas,(7-2),1,100,-1,3,2,-2,3,3,4,22-448
Alexander v. SC NAACP,10/11/2023,5/23/2024,DCSC,Reverse In Part Remand In Part,Alito,(6-3),1,7,100,-2,-1,1,1,1,-2,22-807
Brown v. United States,11/27/2023,5/23/2024,CA3,Affirm,Alito,(6-3),1,1,100,1,-2,-2,1,1,-1,22-6389
Coinbase v. Suski,2/28/2024,5/23/2024,CA9,Affirm,Jackson,(9-0),1,1,1,1,1,2,1,1,100,23-3
NRA v. Vullo,3/18/2024,5/30/2024,CA2,Vacate & Remand,Sotomayor,(9-0),1,1,1,100,1,2,1,1,2,22-842
Cantero v. Bank of America,2/27/2024,5/30/2024,CA2,Vacate & Remand,Kavanaugh,(9-0),1,1,1,1,1,1,100,1,1,22-529
Thornell v. Jones,4/17/2024,5/30/2024,CA9,Reverse & Remand,Alito,(6-3),1,1,100,-1,-2,1,1,1,-1,22-982
Truck Insurance Exchange v. Kaiser,3/19/2024,6/6/2024,CA4,Reverse & Remand,Sotomayor,(8-0),1,1,,100,1,1,1,1,1,22-1079
Connelly v. United States,3/27/2024,6/6/2024,CA8,Affirm,Thomas,(9-0),1,100,1,1,1,1,1,1,1,23-146
Becerra v. San Carlos,3/25/2024,6/6/2024,CA9,Affirm,Roberts,(5-4),100,-2,-2,1,1,1,-1,-2,1,23-250
FDA v. Alliance for Hippocratic Medicine,3/26/2024,6/13/2024,CA5,Reverse & Remand,Kavanaugh,(9-0),1,2,1,1,1,1,100,1,1,23-235
Vidal v. Elster,11/1/2023,6/13/2024,CAFC,Reverse,Thomas,(9-0),8,100,1,5,8,1,7,7,8,22-704
Starbucks Corp. v. McKinney,4/23/2024,6/13/2024,CA6,Vacate & Remand,Thomas,(9-0),1,100,1,1,1,1,1,1,7,23-367
US Trustee v. John Q. Hammons,1/9/2024,6/14/2024,CA10,Reverse & Remand,Jackson,(6-3),1,-2,1,1,1,-1,1,-2,100,22-1238
Campos-Chavez v. Garland,1/8/2024,6/14/2024,CA5,Affirm,Alito,(5-4),1,1,100,-2,-2,-2,1,1,-1,22-674
Garland v. Cargill,2/28/2024,6/14/2024,CA5,Affirm,Thomas,(6-3),1,100,2,-1,-2,1,1,1,-2,22-976
Moore v. United States,12/5/2023,6/15/2024,CA9,Affirm,Kavanaugh,(7-2),1,-1,6,1,1,-2,100,5,1,22-800
Chiaverini v. City of Napoleon,4/15/2024,6/20/2024,CA6,Vacate & Remand,Kagan,(6-3),1,-1,-2,1,100,-1,1,1,1,23-50
Diaz v. United States,3/19/2024,6/20/2024,CA9,Affirm,Thomas,(6-3),1,100,1,-2,-2,-1,1,1,2,23-14
Gonzalez v. Trevino,3/20/2024,6/20/2024,CA5,Vacate & Remand,Per Curiam,(8-1),1,-1,2,1,1,1,2,1,2,22-1025
Texas v. New Mexico,3/20/2024,6/21/2024,ORIG,Exception Sustained,Jackson,(5-4),1,-2,-2,1,1,-1,1,-2,100,22O141
Department of State v. Munoz,4/23/2024,6/21/2024,CA9,Reverse & Remand,Barrett,(6-3),1,1,1,-1,-2,5,1,100,-2,23-334
Erlinger v. United States,3/27/2024,6/21/2024,CA7,Vacate & Remand,Gorsuch,(6-3),2,2,-2,1,1,100,-1,1,-1,23-370
Smith v. Arizona,1/10/2024,6/21/2024,Ariz. Ct. App.,Vacate & Remand,Kagan,(9-0),6,7,5,1,100,7,1,1,1,22-899
United States v. Rahimi,11/7/2023,6/21/2024,CA5,Reverse & Remand,Roberts,(8-1),100,-1,1,2,3,2,2,2,2,22-915
Murthy v. Missouri,3/18/2024,6/26/2024,CA5,Reverse & Remand,Barrett,(6-3),1,-2,-1,1,1,-2,1,100,1,23-411
Snyder v. United States,4/15/2024,6/26/2024,CA7,Reverse & Remand,Kavanaugh,(6-3),1,1,1,-2,-2,2,100,1,-1,23-108
Ohio v. EPA,2/21/2024,6/27/2024,CADC,Stay Granted,Gorsch,(5-4),1,1,1,-2,-2,100,1,-1,-2,23A349
Harrington v. Purdue Pharma,12/4/2023,6/27/2024,CA2,Reverse & Remand,Gorsuch,(5-4),-2,1,1,-2,-2,100,-1,1,1,23-124
SEC v. Jarkesy,11/29/2023,6/27/2024,CA5,Affirm & Remand,Roberts,(6-3),100,3,1,-1,-2,2,1,1,-2,22-859
Moyle v. United States,4/24/2024,6/27/2024,CA9,DIG,Per Curiam,(6-3),3,-2,-1,3,2,-2,3,2,7,23-726
City of Grants Pass v. Johnson,4/22/2024,6/28/2024,CA9,Reverse & Remand,Gorsuch,(6-3),1,2,1,-1,-2,100,1,1,-2,23-175
Loper Bright Enterprises v. Raimondo,1/17/2024,6/28/2024,CADC,Vacate & Remand,Roberts,(6-3),100,2,1,-2,-1,2,1,1,-2,22-451
Fischer v. United States,4/16/2024,6/18/2024,CADC,Vacate & Remand,Roberts,(6-3),100,1,1,-2,-2,1,1,-1,2,23-5572
Corner Post v. Board of Governors,2/20/2024,7/1/2024,CA8,Reverse & Remand,Barrett,(6-3),1,1,1,-2,-2,1,2,100,-1,22-1008
