term,caseName,majoritySSotomayor,majorityKBJackson,majorityEKagan,majoritySAAlito,majorityNMGorsuch,majorityJGRoberts,majorityCThomas,majorityBMKavanaugh,majorityACBarrett,majoritySGBreyer,majorityKBJackson
2020,PEREIDA v. WILKINSON,dissent,,dissent,majority,majority,majority,majority,majority,,dissent,
2020,BRNOVICH v. DEMOCRATIC NATIONAL COMMITTEE,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2020,TRUMP v. NEW YORK,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2020,"EDWARDS v. VANNOY, WARDEN",dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2020,AMERICANS FOR PROSPERITY FOUNDATION v. BONTA,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2020,JONES v. MISSISSIPPI,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2020,CEDAR POINT NURSERY v. HASSID,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2020,JOHNSON v. GUZMAN CHAVEZ,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2020,"HOLLYFRONTIER CHEYENNE REFINING, LLC v. RENEWABLE FUELS ASSOCIATION",dissent,,dissent,majority,majority,majority,majority,majority,dissent,majority,
2020,YELLEN v. CONFEDERATED TRIBES OF THE CHEHALIS RESERVATION,majority,,dissent,majority,dissent,majority,dissent,majority,majority,majority,
2020,"NIZ-CHAVEZ v. GARLAND, ATTORNEY GENERAL",majority,,majority,dissent,majority,dissent,majority,dissent,majority,majority,
2020,VAN BUREN v. UNITED STATES,majority,,majority,dissent,majority,dissent,dissent,majority,majority,majority,
2020,TORRES v. MADRID,majority,,majority,dissent,dissent,majority,dissent,majority,,majority,
2021,VEGA v. TEKOH,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,WEST VIRGINIA v. ENVIRONMENTAL PROTECTION AGENCY,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,CARSON v. MAKIN,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,BROWN v. DAVENPORT,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,NEW YORK STATE RIFLE & PISTOL ASSOCIATION INC. v. BRUEN,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,UNITED STATES v. TSARNAEV,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,KENNEDY v. BREMERTON SCHOOL DISTRICT,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,FEDERAL ELECTION COMMISSION v. TED CRUZ FOR SENATE,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,SHINN v. RAMIREZ,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,EGBERT v. BOULE,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,"NATIONAL FEDERATION OF INDEPENDENT BUSINESS v. DEPARTMENT OF LABOR, OCCUPATIONAL SAFETY AND HEALTH A",dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,"CUMMINGS v. PREMIER REHAB KELLER, P.L.L.C.",dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,GARLAND v. GONZALEZ,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,DOBBS v. JACKSON WOMEN�S HEALTH ORGANIZATION,dissent,,dissent,majority,majority,majority,majority,majority,majority,dissent,
2021,GEORGE v. MCDONOUGH,dissent,,majority,majority,dissent,majority,majority,majority,majority,dissent,
2021,DENEZPI v. UNITED STATES,dissent,,dissent,majority,dissent,majority,majority,majority,majority,majority,
2021,UNITED STATES v. ZUBAYDAH,dissent,,dissent,majority,dissent,majority,majority,majority,majority,majority,
2021,"CITY OF AUSTIN, TEXAS v. REAGAN NATIONAL ADVERTISING OF TEXAS INC",majority,,majority,majority,dissent,majority,dissent,majority,dissent,majority,
2021,THOMPSON v. CLARK,majority,,majority,dissent,dissent,majority,dissent,majority,majority,majority,
2021,"UNICOLORS, INC v. H&M HENNES & MAURITZ, LP",majority,,majority,dissent,dissent,majority,dissent,majority,majority,majority,
2022,STUDENTS FOR FAIR ADMISSIONS INC. v. PRESIDENT & FELLOWS OF HARVARD COLLEGE (/ UNC),dissent,dissent,dissent,majority,majority,majority,majority,majority,majority,,
2022,BIDEN v. NEBRASKA,dissent,dissent,dissent,majority,majority,majority,majority,majority,majority,,
2022,JONES v. HENDRIX,dissent,dissent,dissent,majority,majority,majority,majority,majority,majority,,
2022,303 CREATIVE LLC v. ELENIS,dissent,dissent,dissent,majority,majority,majority,majority,majority,majority,,
2022,SAMIA v. UNITED STATES,dissent,dissent,dissent,majority,majority,majority,majority,majority,majority,,
2022,PUGIN v. GARLAND,dissent,majority,dissent,majority,dissent,majority,majority,majority,majority,,
2022,MOORE v. HARPER,majority,majority,majority,dissent,dissent,majority,dissent,majority,majority,,
2022,REED v. GOERTZ,majority,majority,majority,dissent,dissent,majority,dissent,majority,majority,,
2022,HELIX ENERGY SOLUTIONS GROUP v. HEWITT,majority,majority,majority,dissent,dissent,majority,majority,dissent,majority,,
2022,WILKINS v. UNITED STATES,majority,majority,majority,dissent,majority,dissent,dissent,majority,majority,,
2022,YEGIAZARYAN v. SMAGIN,majority,majority,majority,dissent,dissent,majority,dissent,majority,majority,,
